epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,5580.82,1.15383,0.58908,0.85689,0.61114,0.52151,0.57918,0.36233,1.08963,0.90178,0.86379,0.000321875,0.000321875,0.000321875
77,5641.89,1.13543,0.57743,0.86018,0.63387,0.52512,0.58609,0.36685,1.07988,0.90921,0.86294,0.0003095,0.0003095,0.0003095
78,5702.91,1.14656,0.59074,0.85952,0.62541,0.52988,0.5793,0.36911,1.07515,0.93689,0.86262,0.000297125,0.000297125,0.000297125
79,5764.05,1.13067,0.57351,0.85142,0.62822,0.52886,0.57961,0.36873,1.06371,0.93887,0.86148,0.00028475,0.00028475,0.00028475
80,5826.47,1.11735,0.56161,0.85279,0.6243,0.51572,0.58337,0.37166,1.06776,0.92448,0.86214,0.000272375,0.000272375,0.000272375
81,5896.22,1.13398,0.56637,0.86254,0.62412,0.52959,0.58178,0.373,1.06812,0.92478,0.86312,0.00026,0.00026,0.00026
82,5966.25,1.11104,0.56534,0.85517,0.62621,0.52619,0.58496,0.3745,1.0602,0.90407,0.86053,0.000247625,0.000247625,0.000247625
83,6035.09,1.10406,0.55861,0.85537,0.63296,0.52087,0.58427,0.37744,1.0636,0.92032,0.86009,0.00023525,0.00023525,0.00023525
84,6104.66,1.10006,0.55508,0.85287,0.62646,0.5314,0.58197,0.37454,1.05824,0.92282,0.85762,0.000222875,0.000222875,0.000222875
85,6166,1.10919,0.56093,0.85073,0.62047,0.53107,0.58302,0.37583,1.05427,0.92829,0.8586,0.0002105,0.0002105,0.0002105
86,6226.86,1.09666,0.55259,0.84866,0.60723,0.53882,0.5846,0.38113,1.04477,0.90944,0.85837,0.000198125,0.000198125,0.000198125
87,6293.01,1.08441,0.54582,0.84313,0.61747,0.53473,0.58376,0.3791,1.04224,0.90979,0.85624,0.00018575,0.00018575,0.00018575
88,6362.84,1.08783,0.5347,0.85043,0.6209,0.54669,0.59093,0.38285,1.03878,0.89715,0.85528,0.000173375,0.000173375,0.000173375
89,6432.52,1.07577,0.54595,0.84726,0.61281,0.54083,0.58578,0.38285,1.03062,0.90882,0.85362,0.000161,0.000161,0.000161
90,6502.11,1.08784,0.54736,0.84702,0.61387,0.53518,0.58636,0.38157,1.02692,0.9261,0.85182,0.000148625,0.000148625,0.000148625
91,6572.06,1.10362,0.57274,0.84761,0.61362,0.53198,0.58258,0.38197,1.03332,0.88812,0.85254,0.00013625,0.00013625,0.00013625
92,6652.43,1.11835,0.5599,0.8536,0.60734,0.53866,0.58213,0.37965,1.03251,0.892,0.85528,0.000123875,0.000123875,0.000123875
93,6722.18,1.10026,0.55331,0.85033,0.61115,0.53204,0.58408,0.38121,1.02923,0.89852,0.85559,0.0001115,0.0001115,0.0001115
94,6791.79,1.07598,0.54531,0.84689,0.60443,0.53195,0.58287,0.38132,1.03143,0.90556,0.85577,9.9125e-05,9.9125e-05,9.9125e-05
95,6861.22,1.07834,0.5465,0.84743,0.61385,0.52746,0.58416,0.38139,1.02993,0.91145,0.85534,8.675e-05,8.675e-05,8.675e-05
96,6931.34,1.08911,0.55031,0.84132,0.61551,0.53091,0.58363,0.38194,1.02661,0.91671,0.85485,7.4375e-05,7.4375e-05,7.4375e-05
97,7011.97,1.07146,0.53864,0.84323,0.62138,0.53492,0.58458,0.38153,1.0232,0.92265,0.85363,6.2e-05,6.2e-05,6.2e-05
98,7081.49,1.08317,0.54297,0.84564,0.61168,0.53135,0.58401,0.38051,1.02215,0.9325,0.85361,4.9625e-05,4.9625e-05,4.9625e-05
99,7151.03,1.07535,0.54305,0.84576,0.62509,0.52715,0.58596,0.38389,1.01584,0.91888,0.85334,3.725e-05,3.725e-05,3.725e-05
100,7221.07,1.07213,0.53727,0.84136,0.61518,0.54,0.58685,0.38259,1.01531,0.90454,0.85359,2.4875e-05,2.4875e-05,2.4875e-05
